Field Number 	Field Name 	Field Description 	Units 	Field Data Type 	Field Sampling Rate 	Number of Rows (first file) 	Typical Value 	Number of Rows (Middle file) 	Plot
21 	MW 	Master warning 		Integer 	1 	124 	0 	8412 	Plot 21.png[21]
22 	DFGS 	DFGS 1&2 Master 		Integer 	1 	124 	1 	8412 	Plot 22.png[22]
23 	WD 	Wind direction true 	Deg. 	Integer 	4 	496 	0 	33648 	Plot 23.png[23]
24 	ALT 	Pressure altitude LSP 	Feet 	Integer 	4 	496 	1079 	33648 	Flight elevation plot tail 687.png[24]
25 	NSQT 	Squat switch nose main gear 		Integer 	4 	496 	0 	33648 	Plot 25.png[25]
26 	RALT 	Radio altitude LSP 	Feet 	Float 	8 	992 	-0.125 	67296 	Flight elevation tail 687.png[26]
27 	ALTR 	Altitude rate 	Ft/min 	Integer 	4 	496 	-16 	33648 	Plot 27.png[27]
28 	FQTY.1 	Fuel quantity tank 1 LSB 	Lbs. 	Integer 	1 	124 	3704 	8412 	Plot 28.png[28]
29 	OIT.1 	Oil temperature 1 	Deg. 	Float 	1 	124 	30.4 	8412 	Plot 29.png[29]
30 	OIT.2 	Oil temperature 2 	Deg. 	Float 	1 	124 	30.4 	8412 	Plot 30.png[30]
31 	AOA1 	Angle of attack 1 	Deg. 	Float 	4 	496 	-3.52 	33648 	Plot 31.png[31]
32 	AOA2 	Angle of attack 2 	Deg. 	Float 	4 	496 	2.86 	33648 	Plot 32.png[32]
33 	PTCH 	Pitch angle LSP 	Deg. 	Integer 	8 	992 	0 	67296 	Plot 33.png[33]
34 	FF.1 	Fuel flow 1 	Lbs/hr 	Integer 	4 	496 	0 	33648 	Plot 34.png[34]
35 	PSA 	Average static pressure LSP 	MB 	Integer 	2 	248 	974 	16824 	Plot 35.png[35]
36 	FF.2 	Fuel flow 2 	Lbs/hr 	Integer 	4 	496 	0 	33648 	Plot 36.png[36]
37 	FF.3 	Fuel flow 3 	Lbs/hr 	Integer 	4 	496 	0 	33648 	Plot 37.png[37]
38 	ROLL 	Roll angle LSP 	Deg. 	Integer 	8 	496 	0 	67296 	Plot 38.png[38]
39 	FF.4 	Fuel flow 4 	Lbs/hr 	Integer 	4 	496 	0 	33648 	Plot 39.png[39]
40 	N1.1 	Fan speed 1 LSP 	%RPM 	Float 	4 	496 	1.78 	33648 	Plot 40.png[40]
41 	N1.2 	Fan speed 2 LSP 	%RPM 	Float 	4 	496 	2.03 	33648 	Plot 41.png[41]
42 	MACH 	MACH LSP 	MACH 	Float 	4 	496 	0 	33648 	Plot 42.png[42]
43 	CAS 	Computed airspeed LSP 	Knots 	Integer 	4 	496 	0 	33648 	Plot 43.png[43]
44 	APFD 	AP FD status 		Integer 	1 	124 	0 	8412 	Plot 44.png[44]
45 	PH 	Flight phase from ACMS 		Integer 	1 	124 	1 	8412 	Plot 45.png[45]
46 	CASM 	Max allowable airspeed 	Knots 	Integer 	4 	496 	300 	33648 	Plot 46.png[46]
47 	TAS 	True airspeed LSP 	Knots 	Integer 	4 	496 	0 	33648 	Plot 47.png[47]
48 	VRTG 	Vertical acceleration 	G 	Float 	8 	992 	0.999 	67296 	Plot 48.png[48]
49 	LATG 	Lateral acceleration 	G 	Float 	4 	496 	0.0382 	33648 	Plot 49.png[49]
50 	PI 	Impact pressure LSP 	MB 	Integer 	2 	248 	0 	16824 	Plot 50.png[50]
51 	PS 	Static pressure LSP 	in 	Float 	2 	248 	28.8 	16824 	Plot 51.png[51]
52 	N1.3 	Fan speed 3 LSP 	%RPM 	Float 	4 	496 	1.75 	33648 	Plot 52.png[52]
53 	EVNT 	Event marker 		Integer 	1 	124 	1 	8412 	Plot 53.png[53]
54 	MRK 	Markers-inner, middle, outer 		Integer 	1 	124 	7 	8412 	Plot 54.png[54]
55 	VIB.1 	Engine vibration 1 	in/sec 	Float 	4 	496 	0 	33648 	Plot 55.png[55]
56 	PT 	Total pressure LSP 	MB 	Integer 	2 	248 	974 	16824 	Plot 56.png[56]
57 	VHF1 	VHF keying #1 		Integer 	1 	124 	1 	8412 	Plot 57.png[57]
58 	VHF2 	VHF keying #2 		Integer 	1 	124 	1 	8412 	Plot 58.png[58]
59 	LGDN 	Gears L&R down locked 		Integer 	1 	124 	0 	8412 	Plot 59.png[59]
60 	LGUP 	Gears L&P up locked 		Integer 	1 	124 	1 	8412 	Plot 60.png[60]
61 	VIB.2 	Engine vibration 2 	in/sec 	Float 	4 	496 	0 	33648 	Plot 61.png[61]
62 	VHF3 	VHF keying #3 		Integer 	1 	124 	1 	8412 	Plot 62.png[62]
63 	PUSH 	Stick pusher 		Integer 	1 	124 	1 	8412 	Plot 63.png[63]
64 	SHKR 	Stick shaker 		Integer 	2 	248 	1 	16824 	Plot 64.png[64]
65 	MSQT.2 	Squat switch right main gear 		Integer 	2 	248 	0 	16824 	Plot 65.png[65]
66 	VIB.3 	Engine vibration 3 	in/sec 	Float 	4 	496 	0 	33648 	Plot 66.png[66]
67 	LONG 	Longitudinal acceleration 	G 	Float 	4 	496 	-0.0251 	33648 	Plot 67.png[67]
68 	PLA.1 	Power level angle 1 	Deg. 	Float 	4 	496 	-0.791 	33648 	Plot 68.png[68]
69 	N1.4 	Fan speed 4 LSP 	%RPM 	Float 	4 	496 	1.22 	33648 	Plot 69.png[69]
70 	HYDY 	Low hydraulic pressure yellow 		Integer 	1 	124 	1 	8412 	Plot 70.png[70]
71 	HYDG 	Low hydraulic pressure green 		Integer 	1 	124 	1 	8412 	Plot 71.png[71]
72 	SMOK 	Smoke warning 		Integer 	1 	124 	0 	8412 	Plot 72.png[72]
73 	CALT 	Cabin high altitude 		Integer 	1 	124 	0 	8412 	Plot 73.png[73]
74 	VIB.4 	Engine vibration 4 	in/sec 	Float 	4 	496 	0 	33648 	Plot 74.png[74]
75 	PLA.2 	Power level angle 2 	Deg. 	Float 	4 	496 	0.615 	33648 	Plot 75.png[75]
76 	PLA.3 	Power level angle 3 	Deg. 	Float 	4 	496 	1.143 	33648 	Plot 76.png[76]
77 	PLA.4 	Power level angle 4 	Deg. 	Float 	4 	496 	-1.67 	33648 	Plot 77.png[77]
78 	GMT.HOUR 	Greenwich mean time (hour) 	Hour 	Integer 	2 	248 	45 	16824 	Plot 78.png[78]
79 	GMT.MINUTE 	Greenwich mean time (minute) 	Minute 	Integer 	2 	248 	165 	16824 	Plot 79.png[79]
80 	GMT.SEC 	Greenwich mean time (second) 	Second 	Integer 	2 	248 	90 	16824 	Plot 80.png[80]
81 	ACMT 	ACMS timing used T1HZ 		Integer 	1 	124 	60 	8412 	Plot 81.png[81]
82 	FQTY.2 	Fuel quantity tank 2 LSB 	Lbs. 	Integer 	1 	124 	0 	8412 	Plot 82.png[82]
83 	OIT.3 	Oil temperature 3 	Deg. 	Float 	1 	124 	30.4 	8412 	Plot 83.png[83]
84 	OIT.4 	Oil temperature 4 	Deg. 	Float 	1 	124 	31.7 	8412 	Plot 84.png[84]
85 	DATE.YEAR 	Date (Year) 	Year 	Integer 	0.25 	31 	2165 	2103 	Plot 85.png[85]
86 	DATE.MONTH 	Date (Month) 	Month 	Integer 	0.25 	31 	25 	2103 	Plot 86.png[86]
87 	DATE.DAY 	Date (Day) 	Day 	Integer 	0.25 	31 	45 	2103 	Plot 87.png[87]
88 	DVER.1 	Database ID version char 1 		Integer 	0.25 	31 	126 	2103 	Plot 88.png[88]
89 	ACID 	Aircraft number 		Integer 	0.25 	31 	687 	2103 	Plot 89.png[89]
90 	BLV 	Bleed all air valves 		Integer 	1 	124 	0 	8412 	Plot 90.png[90]
91 	EAI 	Engine antice all positions 		Integer 	1 	124 	0 	8412 	Plot 91.png[91]
92 	PACK 	Pack air conditioning all 		Integer 	1 	124 	0 	8412 	Plot 92.png[92]
93 	AOAI 	Indicated angle of attack 	Deg. 	Float 	4 	496 	-0.352 	33648 	Plot 93.png[93]
94 	AOAC 	Corrected angle of attack 	Deg. 	Float 	4 	496 	0 	33648 	Plot 94.png[94]
95 	BAL1 	BARO CORRECT ALTITUDE LSP 	FEET 	INTEGER 	4 	496 	1153 	33648 	Plot 95.png[95]
96 	APUF 	APU FIRE WARNING 		INTEGER 	2 	248 	0 	16824 	Plot 096.png[96]
97 	TOCW 	TAKEOFF CONE WARNING 		INTEGER 	2 	248 	0 	16824 	Plot 095.png[97]
98 	BAL2 	BARO CORRECT ALTITUDE LSP 	FEET 	INTEGER 	4 	496 	1155 	33648 	Plot 098.png[98]
99 	WSHR 	WINDSHEAR WARNING 		INTEGER 	1 	124 	1 	8412 	Plot 099.png[99]
100 	WOW 	WEIGHT ON WHEELS 		INTEGER 	1 	124 	0 	8412 	Plot 100.png[100]
101 	N2.1 	CORE SPEED 1 LSP 	%RPM 	INTEGER 	4 	496 	0 	33648 	Plot 101.png[101]
102 	N2.2 	CORE SPEED 2LSP 	%RPM 	INTEGER 	4 	496 	0 	33648 	Plot 102.png[102]
103 	N2.3 	CORE SPEED 3LSP 	%RPM 	INTEGER 	4 	496 	0 	33648 	Plot 103.png[103]
104 	N2.4 	CORE SPEED 4LSP 	%RPM 	INTEGER 	4 	496 	0 	33648 	Plot 104.png[104]
105 	TAT 	TOTAL AIR TEMPERATURE 	DEG 	FLOAT 	1 	124 	16.8 	8412 	Plot 105.png[105]
106 	SAT 	STATIC AIR TEMPERATURE 	DEG 	FLOAT 	1 	124 	16.2 	8412 	Plot 106.png[106]
107 	N1T 	N1 TARGET LSP 	%RPM 	FLOAT 	4 	496 	95.8 	33648 	Plot 107.png[107]
108 	N1C 	N1 CMMAND LSP 	%RPM 	INTEGER 	4 	496 	0 	33648 	Plot 108.png[108]
109 	RUDD 	RUDDER POSITION 	DEG 	FLOAT 	2 	248 	-1.43 	16824 	Plot 109.png[109]
110 	FQTY.3 	FUEL QUANTITY TANK 3 LSB 	LSB 	INTEGER 	1 	124 	0 	8412 	Plot 110.png[110]
111 	OIP.1 	OIL PRESSURE 1 	PSI 	INTEGER 	1 	124 	0 	8412 	Plot 111.png[111]
112 	OIP.2 	OIL PRESSURE 2 	PSI 	INTEGER 	1 	124 	0 	8412 	Plot 112.png[112]
113 	FQTY.4 	FUEL QUANTITY TANK 4 LSB 	LSB 	INTEGER 	1 	124 	3792 	8412 	Plot 113.png[113]
114 	CRSS 	SELECTED COURSE 	DEG 	INTEGER 	1 	124 	119 	8412 	Plot 114.png[114]
115 	HDGS 	SELECTED HEADING 	DEG 	INTEGER 	1 	124 	119 	8412 	Plot 115.png[115]
116 	ALTS 	SELECTED ALTITUDE LSP 	FEET 	INTEGER 	1 	124 	4000 	8412 	Plot 116.png[116]
117 	SNAP 	MANUAL SNAPSHOT SWITCH 		INTEGER 	1 	124 	1 	8412 	Plot 117.png[117]
118 	CASS 	SELECTED AIRSPEED 	KNOTS 	INTEGER 	1 	124 	100 	8412 	Plot 118.png[118]
119 	N1CO 	N1 COMPENSATION 		INTEGER 	1 	124 	1 	8412 	Plot 119.png[119]
120 	VSPS 	SELECTED VERTICAL SPEED 	FT/MIN 	INTEGER 	1 	124 	0 		Plot 120.png[120]
121 	MNS 	SELECTED MACH 	MMACH 	INTEGER 	1 	124 	153 	8412 	Plot 121.png[121]
122 	MSQT.1 	SQUAT SWITCH LEFT MAIN GEAR 		INTEGER 	2 	248 	0 	16824 	Plot 122.png[122]
123 	VMODE 	VERTICAL ENGAGE MODES 		INTEGER 	1 	124 	0 	8412 	Plot 123.png[123]
124 	LMOD 	LATERAL ENGAGE MODES 		INTEGER 	1 	124 	0 	8412 	Plot 124.png[124]
125 	A.T 	THRUST AUTOMATIC ON 		INTEGER 	1 	124 	1 	8412 	Plot 125.png[125]
126 	CCPC 	CONTROL COLUMN POSITION CAPT 	COUNTS 	INTEGER 	2 	248 	1973 	16824 	Plot 126.png[126]
127 	CCPF 	CONTROL COLUMN POSITION F/O 	COUNTS 	INTEGER 	2 	248 	1868 	16824 	Plot 127.png[127]
128 	RUDP 	RUDDER PEDAL POSITION 	COUNTS 	INTEGER 	2 	248 	2016 	16824 	Plot 128.png[128]
129 	CWPC 	CONTROL WHEEL POSITION CAPT 	COUNTS 	INTEGER 	2 	248 	9 	16824 	Plot 129.png[129]
130 	CWPF 	CONTROL WHEEL POSITION F/O 	COUNTS 	INTEGER 	2 	248 	1653 	16824 	Plot 130.png[130]
131 	OIP.3 	OIL PRESSURE 3 	PSI 	INTEGER 	1 	124 	0 	8412 	Plot 131.png[131]
132 	OIP.4 	OIL PRESSURE 4 	PSI 	INTEGER 	1 	124 	0 	8412 	Plot 132.png[132]
133 	LOC 	LOCALIZER DEVIATION 	DDM 	FLOAT 	1 	124 	0.0339 	8412 	Plot 133.png[133]
134 	GLS 	GLIDESLOPE DEVIATION 	DDM 	FLOAT 	1 	124 	0.00390 	8412 	Plot 134.png[134]
135 	LONP 	LONGITUDE POSITION LSP 	DEG 	FLOAT 	1 	124 	0.352 	8412 	Plot 135.png[135]
136 	ABRK 	AIRBRAKE POSITION 	DEG 	INTEGER 	1 	124 	60 	8412 	Plot 136.png[136]
137 	AIL.1 	ALIERON POSITION LH 	DEG 	INTEGER 	1 	124 	73 	8412 	Plot 137.png[137]
138 	AIL.2 	AILERON POSITION RH 	DEG 	FLOAT 	1 	124 	74.1 	8412 	Plot 138.png[138]
139 	SPL.1 	ROLL SPOILER LEFT 	DEG 	INTEGER 	1 	124 	73 	8412 	Plot 139.png[139]
140 	SPL.2 	ROLL SPOILER RIGHT 	DEG 	FLOAT 	1 	124 	73.3 	8412 	Plot 140.png[140]
141 	ESN.4 	ENGINE SERIAL NUMBER 4 LSP 	UNITS 	INTEGER 	0.25 	31 	7748 	2103 	Plot 141.png[141]
142 	ECYC.1 	ENGINE CYCLE 1 LSP 	HOURS 	INTEGER 	0.25 	31 	7233 	2103 	Plot 142.png[142]
143 	ECYC.2 	ENGINE CYCLE 2 LSP 	HOURS 	INTEGER 	0.25 	31 	7233 	2103 	Plot 143.png[143]
144 	ELEV.1 	ELEVATOR POSITION LEFT 	DEG 	INTEGER 	1 	124 	21 	8412 	Plot 144.png[144]
145 	ELEV.2 	ELEVATOR POSITION RIGHT 	DEG 	FLOAT 	1 	124 	62.1 	8412 	Plot 145.png[145]
146 	FLAP 	T.E. FLAP POSITION 	COUNTS 	INTEGER 	1 	124 	114 	8412 	Plot 146.png[146]
147 	PTRM 	PITCH TRIM POSITION 	DEG 	FLOAT 	1 	124 	0.721 	8412 	Plot 147.png[147]
148 	HF1 	HF KEYING #1 		INTEGER 	1 	124 	1 	8412 	Plot 148.png[148]
149 	HF2 	HF KEYING #2 		INTEGER 	1 	124 	1 	8412 	Plot 149.png[149]
150 	SMKB 	ANIMAL BAY SMOKE 		INTEGER 	1 	124 	1 	8412 	Plot 150.png[150]
151 	SPLY 	SPOILER DEPLOY YELLOW 		INTEGER 	1 	124 	1 	8412 	Plot 151.png[151]
152 	SPLG 	SPOILER DEPLOY GREEN 		INTEGER 	1 	124 	1 	8412 	Plot 152.png[152]
153 	FRMC 	FRAME COUNTER 		INTEGER 	0.25 	31 	125 	2103 	Plot 153.png[153]
154 	DVER.2 	DATABASE ID VERSION CHAR 2 		INTEGER 	0.25 	31 	50 	2103 	Plot 154.png[154]
155 	ESN.3 	ENGINE SERIAL NUMBER 3 LSP 	UNITS 	INTEGER 	0.25 	31 	8104 	2103 	Plot 155.png[155]
156 	BPGR.1 	BRAKE PRESSURE LH GREEN 	PSI 	INTEGER 	1 	124 	0 	8412 	Plot 156.png[156]
157 	BPGR.2 	BRAKE PRESSURE RH GREEN 	PSI 	FLOAT 	1 	124 	34.2 	8412 	Plot 157.png[157]
158 	BPYR.1 	BRAKE PRESSURE LH YELLOW 	PSI 	INTEGER 	1 	124 	2798 	8412 	Plot 158.png[158]
159 	BPYR.2 	BRAKE PRESSURE RH YELLOW 	PSI 	INTEGER 	1 	124 	0 	8412 	Plot 159.png[159]
160 	ECYC.3 	ENGINE CYCLE 3 LSP 	HOURS 	INTEGER 	0.25 	31 	7233 	2103 	Plot 160.png[160]
161 	ECYC.4 	ENGINE CYCLE 4 LSP 	HOURS 	INTEGER 	0.25 	31 	8716 	2103 	Plot 161.png[161]
162 	EHRS.1 	ENGINE HOURS 1 LSP 	HOURS 	INTEGER 	0.25 	31 	6975 	2103 	Plot 162.png[162]
163 	TCAS 	TCAS LSP 		INTEGER 	1 	124 	0 	8412 	Plot 163.png[163]
164 	GPWS 	GPWS 1-5 		INTEGER 	1 	124 	1 	8412 	Plot 164.png[164]
165 	TMAG 	TRUE/MAG HEADING SELECT 		INTEGER 	1 	124 	1 	8412 	Plot 165.png[165]
166 	TAI 	TAIL ANTICE ON 		INTEGER 	1 	124 	0 	8412 	Plot 166.png[166]
167 	WAI.1 	INNER WING DEICE 		INTEGER 	1 	124 	0 	8412 	Plot 167.png[167]
168 	WAI.2 	OUTER WING ANTICE 		INTEGER 	1 	124 	0 	8412 	Plot 168.png[168]
169 	DWPT 	DISTANCE TO WAYPOINT LSP 		INTEGER 	1 	124 	0 	8412 	Plot 169.png[169]
170 	OIPL 	LOW OIL PRESSURE ALL ENGINES 		INTEGER 	1 	124 	0 	8412 	Plot 170.png[170]
171 	FADF 	FADEC FAIL ALL ENGINES 		INTEGER 	1 	124 	15 	8412 	Plot 171.png[171]
172 	FADS 	FADEC STATUS ALL ENGINES 		INTEGER 	1 	124 	15 	8412 	Plot 172.png[172]
173 	EHRS.4 	ENGINE HOURS 4 LSP 	HOURS 	INTEGER 	0.25 	31 	8340 	2103 	Plot 173.png[173]
174 	EHRS.3 	ENGINE HOURS 3 LSP 	HOURS 	INTEGER 	0.25 	31 	6975 	2103 	Plot 174.png[174]
175 	EHRS.2 	ENGINE HOURS 2 LSP 	HOURS 	INTEGER 	0.25 	31 	6975 	2103 	Plot 175.png[175]
176 	TMODE 	THRUST MODE 		INTEGER 	1 	124 	1 	8412 	Plot 176.png[176]
177 	ATEN 	A/T ENGAGE STATUS 		INTEGER 	1 	124 	0 	8412 	Plot 177.png[177]
178 	LATP 	LATITUDE POSITION LSP 	DEG 	INTEGER 	1 	124 	0 	8412 	Plot 178.png[178]
179 	FIRE.1 	ENGINE FIRE #1 		INTEGER 	1 	124 	0 	8412 	Plot 179.png[179]
180 	FIRE.2 	ENGINE FIRE #2 		INTEGER 	1 	124 	0 	8412 	Plot 180.png[180]
181 	FIRE.3 	ENGINE FIRE #3 		INTEGER 	1 	124 	0 	8412 	Plot 181.png[181]
182 	FIRE.4 	ENGINE FIRE #4 		INTEGER 	1 	124 	0 	8412 	Plot 182.png[182]
183 	FGC3 	DFGS STATUS 3 		INTEGER 	1 	124 	112 	8412 	Plot 183.png[183]
184 	ILSF 	ILS FREQUENCY LSP 		INTEGER 	1 	124 	2124901 	8412 	Plot 184.png[184]
185 	ESN.1 	ENGINE SERIAL NUMBER 1 LSP 	UNITS 	INTEGER 	0.25 	31 	8007 	2103 	Plot 185.png[185]
186 	ESN.2 	ENGINE SERIAL NUMBER 2 LSP 	UNITS 	INTEGER 	0.25 	31 	7958 	2103 	Plot 186.png[186]
